,prelim.household,prelim.gender,hh.Pesticide,hh.SMP,hh.wealth1,base.attitudes,base.dnorms,base.innorms,base.control,base.intention,follow.event_attendance,follow.attitudes,follow.dnorms,follow.innorms,follow.control,follow.intention,final.attitudes,final.dnorms,final.innorms,final.control,final.intention,follow.pledge,follow.story,follow.hotline,final.pledge,final.story,final.hotline,agemod,Base,indeg1,avgAlt1,avgAlt2,avgAlt3,avgAlt4,avgAlt5,avgAlt6
144,1,1,0,0,4,NA,NA,NA,NA,NA,0,13,6,15,7,3,15,6,13,10,8,0,0,0,0,0,0,2.497109795,0,5,7.75,8.75,6.333333333,15.75,16.25,13.33333333
145,138,0,1,0,5,13,6,13,9,4,0,13,6,8,12,4,12,5,10,9,5,0,0,0,0,0,0,1.664739863,1,6,8,7.25,8,16.33333333,15.75,14
146,50,0,0,0,2,19,6,18,13,10,0,16,6,19,14,10,14,7,15,11,6,2,0,0,0,0,0,3.329479727,1,5,8,9.25,7.333333333,19,17.25,17
147,43,1,0,1,5,NA,NA,NA,NA,NA,1,14,8,13,9,9,17,7,16,10,7,2,1,2,1,0,0,3.953757176,0,8,8.666666667,9,7,15.33333333,17.5,15.5
148,112,1,0,1,4,NA,NA,NA,NA,NA,0,15,6,12,10,8,15,6,13,11,8,0,0,0,0,0,0,3.676300532,0,1,6,9,6.5,12,15,13
149,128,1,0,1,4,16,6,14,10,8,0,18,6,15,13,10,13,5,9,8,4,0,0,0,1,5,0,1.942196507,1,3,7.5,9,5,15.5,18,13
150,91,0,0,0,4,NA,NA,NA,NA,NA,0,8,3,8,8,2,18,4,14,8,6,0,0,0,0,0,0,3.190751405,0,2,10,5,10,17,18,19
151,126,0,0,0,2,17,6,15,8,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.982658922,1,11,8.333333333,8.333333333,6.5,17,15.33333333,14.5
152,12,1,0,0,3,NA,NA,NA,NA,NA,0,16,6,16,10,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.635838117,0,6,6,6,NA,13,13.5,NA
153,135,1,0,1,4,16,6,16,10,6,0,14,6,15,12,8,17,6,14,9,8,0,0,0,0,0,0,1.872832346,1,2,9,5,6,16,12.5,14.5
154,22,0,0,0,3,12,6,12,9,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.578034625,1,2,4,8,7,10,14,16
155,154,0,0,0,2,14,8,10,10,6,0,10,6,8,6,3,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,1,0,8,9.5,NA,15,13,NA
156,151,1,0,0,3,14,7,12,12,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.329479727,1,1,8,5,6,16,13,15
157,32,0,0,0,3,10,6,10,6,4,1,14,6,14,10,8,16,7,14,9,7,0,2,0,0,1,0,3.190751405,1,5,6.333333333,9.4,7.2,15,16.2,16.6
158,72,1,0,1,4,16,7,14,9,8,0,14,6,16,8,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.317919059,1,3,9,9,7,15,16,14.5
159,146,1,0,0,4,14,6,12,12,9,1,16,6,16,12,10,NA,NA,NA,NA,NA,3,5,2,NA,NA,NA,1.734104024,1,1,6,6,NA,13,14,NA
160,8,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,4,9.333333333,9.333333333,6.333333333,14.66666667,15,17.33333333
161,13,1,0,0,4,NA,NA,NA,NA,NA,1,20,6,20,15,10,19,6,13,9,9,3,4,3,3,0,3,2.913294761,0,3,10,9.666666667,7.666666667,18,15,15.66666667
162,50,1,0,0,2,19,6,12,12,8,0,19,8,18,15,10,17,5,11,12,8,2,0,0,1,0,0,3.398843888,1,3,10,9.666666667,6.5,19,17.33333333,14
163,6,0,1,0,4,NA,NA,NA,NA,NA,1,16,6,18,15,10,17,5,14,11,8,3,5,3,1,0,0,3.745664693,0,13,8.833333333,9.111111111,7.833333333,15.16666667,15.44444444,16.5
164,5,0,0,0,4,NA,NA,NA,NA,NA,0,18,6,16,11,10,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,3.329479727,0,9,7,8.75,8,18,15.75,15.33333333
165,93,1,1,1,5,NA,NA,NA,NA,NA,0,17,6,17,10,9,14,6,11,8,7,0,0,0,0,0,0,4.023121337,0,6,8,9.333333333,7,19,16.66666667,17.33333333
166,143,0,0,0,3,17,7,12,12,10,1,12,5,14,14,10,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,3.121387244,1,5,5,8,8.2,13.5,14.66666667,16.2
167,70,1,1,0,4,17,6,12,8,8,0,15,5,13,13,7,16,7,13,12,8,0,0,3,0,0,0,2.635838117,1,3,9,8.666666667,6,15.66666667,14.33333333,15
168,18,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,3,8,8.333333333,9,15,15.33333333,16.66666667
169,18,0,1,0,4,NA,NA,NA,NA,NA,0,16,8,16,11,8,18,6,15,12,10,0,0,0,0,0,0,1.317919059,0,4,8,9,7.8,16.33333333,16.6,14.8
170,83,1,1,1,4,NA,NA,NA,NA,NA,0,16,6,16,12,9,16,8,16,11,6,1,0,0,0,0,0,1.942196507,0,2,NA,9,8.5,NA,15,15.5
171,75,0,0,0,3,13,6,14,7,7,1,17,6,17,14,9,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,2.358381473,1,5,NA,NA,NA,NA,NA,NA
172,53,0,0,0,2,19,6,14,12,9,1,20,8,16,14,10,14,8,16,12,10,3,5,3,2,5,2,2.011560668,1,3,6.5,9,6,13,16,17
173,64,0,0,1,4,15,8,16,12,10,1,17,6,17,14,10,12,6,12,9,6,3,1,0,0,0,0,2.774566439,1,6,5.5,8.8,7.5,13,15.6,13.5
174,18,1,1,0,4,NA,NA,NA,NA,NA,0,14,6,12,10,8,16,7,15,12,8,0,0,0,0,0,0,4.300577981,0,4,8,8.5,9.5,15,16,17
175,124,0,0,0,5,NA,NA,NA,NA,NA,0,13,6,11,9,4,14,6,17,11,7,0,0,0,0,0,0,4.161849659,0,3,7.666666667,8.75,7,15.33333333,15,14
176,142,0,0,0,5,13,7,10,8,6,0,9,5,14,12,9,16,8,13,10,9,0,0,0,0,0,0,3.676300532,1,3,NA,5,7,NA,13.5,15
177,29,0,1,0,3,NA,NA,NA,NA,NA,0,16,5,14,14,9,15,6,14,12,8,0,0,0,0,1,1,1.317919059,0,9,8,8,8,15,15.5,19.5
178,23,0,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,15,8,14,11,8,NA,NA,NA,0,0,0,4.439306303,0,9,9,8.4,7.75,17,15.4,17.25
179,132,0,0,0,4,NA,NA,NA,NA,NA,0,12,7,12,8,4,14,6,14,10,6,0,0,0,0,0,0,1.526011542,0,9,6,7.25,7,12.5,14.5,16.5
180,133,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734104024,0,2,7,8.333333333,6.5,12,15.66666667,13
181,56,0,0,0,3,14,6,15,12,8,0,17,6,13,13,10,16,6,15,11,9,0,0,0,0,1,0,1.734104024,1,4,7.333333333,8.75,6.5,14,15.25,14
182,98,1,0,0,2,NA,NA,NA,NA,NA,0,15,6,14,11,9,20,6,16,15,10,0,0,0,0,0,0,4.508670464,0,3,NA,8.333333333,7,NA,15.33333333,16.5
183,22,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.271676234,0,4,7.5,10,NA,15,20,NA
184,153,1,0,0,5,NA,NA,NA,NA,NA,0,16,6,14,14,8,15,7,15,12,7,0,0,0,0,0,0,1.803468185,0,1,9,9.25,5,16,14.5,15.66666667
185,69,1,0,1,4,12,4,13,10,8,0,15,7,13,10,10,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,3.121387244,1,1,7,8.75,8,13.5,16.5,14
186,38,1,0,1,5,NA,NA,NA,NA,NA,0,17,6,15,10,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.456647381,0,4,7.333333333,9.25,7.666666667,13.33333333,15.5,13.66666667
187,156,0,0,0,4,NA,NA,NA,NA,NA,0,16,6,13,10,8,14,6,14,11,8,0,0,0,0,0,0,1.317919059,0,3,7.333333333,8.5,9,15,16.25,17.5
188,140,1,0,0,4,19,7,14,11,9,0,17,6,15,14,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.664739863,1,3,6,8,NA,14.5,16.5,NA
189,86,0,0,1,4,13,8,15,10,7,0,15,6,17,12,9,19,6,19,13,5,0,0,0,0,0,0,1.38728322,1,5,8,9,9.5,17,15,17
190,122,1,0,0,3,16,5,16,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.942196507,1,1,7,8,9.5,13,15,18
191,32,0,0,0,3,NA,NA,NA,NA,NA,1,18,10,18,14,10,15,6,12,12,8,3,5,1,1,5,2,1.38728322,0,6,5.666666667,9,7.6,14.33333333,15.4,16.6
192,32,0,0,0,3,NA,NA,NA,NA,NA,0,17,7,15,7,9,19,8,15,12,9,0,0,3,2,5,2,1.803468185,0,4,5.666666667,9.5,7,14.33333333,16,16
193,85,1,0,1,5,NA,NA,NA,NA,NA,0,16,7,18,13,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,4.578034625,0,6,6,9,8,14,15,18
194,96,0,1,0,4,NA,NA,NA,NA,NA,0,15,6,17,8,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.38728322,0,3,8,8,6,16,14,12
195,43,1,0,1,5,NA,NA,NA,NA,NA,0,16,6,15,13,8,16,6,13,11,6,0,0,1,0,0,0,1.664739863,0,4,8.5,9.5,7.5,15,16.5,16
196,31,0,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.289017312,0,1,9,8,6,16,14,16
197,85,0,0,1,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,0,3,NA,9.2,7.666666667,NA,16,17.33333333
198,105,0,1,0,6,NA,NA,NA,NA,NA,0,14,3,15,12,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.427745634,0,1,8,7.333333333,5.5,14,16,13
199,88,0,0,1,4,NA,NA,NA,NA,NA,0,17,6,12,10,10,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,1.942196507,0,2,NA,9,10,NA,17.5,20
200,104,0,0,0,4,NA,NA,NA,NA,NA,0,20,6,17,10,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,0,9,8.5,8.25,7.333333333,15,16,15
201,61,0,1,0,4,17,6,17,12,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.121387244,1,1,8,8,6,15,16,16
202,90,1,0,1,4,NA,NA,NA,NA,NA,0,16,6,13,11,8,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,1.38728322,0,2,NA,9.4,9,NA,17.6,18
203,53,1,0,0,2,15,7,16,12,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,1,2,9,10,10,17.5,16.5,14
204,104,0,0,0,4,NA,NA,NA,NA,NA,0,16,6,15,8,9,16,7,10,12,8,0,0,0,0,0,0,1.734104024,0,4,NA,9,NA,NA,18,NA
205,19,0,1,0,4,16,10,14,15,10,0,17,9,16,12,10,17,8,13,11,8,0,0,0,0,0,0,1.872832346,1,6,9,8.4,10,19,15.6,17
206,155,0,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.595375702,0,6,6,8.25,7.5,15,15.5,15
207,74,0,0,0,3,NA,NA,NA,NA,NA,0,17,5,17,8,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.289017312,0,8,8.333333333,8.285714286,8.5,14,15.14285714,15.75
208,156,0,0,0,4,NA,NA,NA,NA,NA,0,16,6,15,10,8,18,6,16,12,10,0,0,0,0,0,0,1.317919059,0,2,6.5,8.666666667,8,13.5,16.66666667,15.5
209,99,1,0,1,3,17,7,15,13,8,0,17,6,15,14,10,17,9,14,14,10,0,0,0,0,0,0,2.358381473,1,3,9.5,9,8.5,15.5,15.5,16.75
210,114,1,0,1,4,18,6,16,10,9,0,15,6,13,12,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.497109795,1,6,6,7.166666667,7.5,12.66666667,15.5,15.75
211,145,1,0,0,3,11,5,10,5,3,0,17,7,13,9,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.289017312,1,8,4,5.333333333,8.5,14,14,17
212,119,0,0,1,4,15,6,10,9,6,0,18,8,13,10,8,16,7,11,11,5,0,0,0,0,0,0,1.872832346,1,4,7.2,8.571428571,7.8,15.4,16.57142857,16
213,41,0,1,1,4,13,6,9,8,5,0,16,6,13,8,8,11,5,10,9,6,0,0,0,0,1,0,1.317919059,1,2,6.75,8.333333333,6.5,15.5,16.66666667,16
214,140,0,0,0,4,18,8,15,11,9,0,16,8,14,7,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.526011542,1,6,8.333333333,9,8.5,16.33333333,13.25,16.5
215,77,1,0,0,2,NA,NA,NA,NA,NA,0,17,8,14,12,10,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,1.664739863,0,5,7.5,9,8,16.5,16.5,16
216,117,0,0,0,4,14,6,12,8,8,0,18,6,11,11,10,14,6,11,10,7,0,0,0,1,0,0,1.248554898,1,3,NA,8.75,7.333333333,NA,15.25,16.66666667
217,144,0,0,0,4,NA,NA,NA,NA,NA,0,15,7,15,13,8,17,9,16,12,8,0,0,0,0,5,0,1.456647381,0,5,4,4,7,14,13.5,16
218,37,1,0,0,5,NA,NA,NA,NA,NA,0,14,5,13,10,8,15,7,14,10,8,0,5,0,1,5,2,1.317919059,0,3,NA,9,6,NA,16.5,16
219,24,0,1,1,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.023121337,0,10,9,8.8,7.2,16.33333333,16,17
220,117,1,0,0,4,NA,NA,NA,NA,NA,0,17,6,15,8,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.803468185,0,4,8.5,8.666666667,7.5,16,16,14
221,18,0,1,0,4,15,6,13,6,8,0,16,7,15,7,9,16,6,16,11,9,0,0,0,0,0,0,2.774566439,1,5,NA,8,9,NA,14.66666667,17
222,21,0,0,0,3,15,6,13,8,7,0,17,7,17,11,9,12,6,12,9,6,0,0,0,0,0,0,3.052023083,1,2,7,9,7.5,13,16,16.5
223,73,0,0,0,4,11,7,11,7,6,0,16,9,17,13,9,17,8,14,12,6,0,0,0,0,5,0,2.635838117,1,6,8.666666667,9.333333333,7,15.66666667,15.33333333,14
224,82,1,0,0,5,NA,NA,NA,NA,NA,0,16,6,15,14,10,17,5,13,10,9,0,0,0,0,1,0,4.508670464,0,5,NA,7,7,NA,13.5,12
225,87,1,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,4,NA,9.5,7,NA,16.5,16
226,36,1,1,0,4,15,8,16,12,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734104024,1,1,8.666666667,8.75,7.75,15.66666667,15.5,13.75
227,25,0,1,0,5,17,5,14,13,8,0,14,7,16,11,8,14,7,13,11,8,0,0,0,0,0,0,2.080924829,1,4,4,10,NA,11,15,NA
228,24,0,1,1,6,NA,NA,NA,NA,NA,0,17,9,19,13,10,17,6,14,12,9,0,1,1,1,5,2,1.942196507,0,3,8.75,8.5,7.571428571,16.5,15.33333333,16.42857143
229,63,1,0,0,2,17,7,14,11,8,0,14,6,13,10,8,13,8,14,10,8,0,0,0,0,0,0,1.664739863,1,3,8,8.6,9.25,14,15,16.5
230,45,1,0,1,2,NA,NA,NA,NA,NA,0,15,6,15,11,10,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,1.38728322,0,3,8.5,7.5,8.666666667,14.5,16,16.66666667
231,4,0,0,1,5,NA,NA,NA,NA,NA,0,15,6,17,10,10,19,8,14,6,9,0,0,0,0,0,0,1.664739863,0,1,8.333333333,8.6,8,13,14.4,15.33333333
232,108,1,1,0,4,17,6,17,12,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.803468185,1,1,8.5,8.5,7.5,15,15.5,16
233,54,1,0,0,3,17,5,15,10,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.942196507,1,2,7.666666667,8.4,7.333333333,13,15.8,15.33333333
234,141,0,0,0,4,NA,NA,NA,NA,NA,0,11,6,6,8,2,12,4,11,8,4,0,0,0,0,0,0,1.526011542,0,2,8.333333333,9,9,16,12.33333333,16
235,8,0,0,0,5,NA,NA,NA,NA,NA,0,16,6,16,12,9,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,1.317919059,0,5,9,9,7,14.5,15.25,19
236,102,1,0,1,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734104024,0,2,9.5,9,10,16,16.25,17
237,4,1,0,1,5,NA,NA,NA,NA,NA,0,14,5,14,10,8,17,5,20,9,10,0,0,0,0,0,0,1.942196507,0,3,8,10,7.5,14,14.5,16.5
238,81,0,0,0,4,NA,NA,NA,NA,NA,0,16,6,15,12,10,17,5,12,12,6,0,0,0,0,0,0,1.526011542,0,1,NA,9.5,4,NA,14,14
239,148,1,1,0,5,NA,NA,NA,NA,NA,0,19,6,16,13,10,16,7,13,10,8,0,0,0,0,0,0,3.953757176,0,4,NA,8.5,8,NA,15.5,15
240,126,1,0,0,2,17,6,13,10,9,0,15,6,13,10,7,16,4,14,10,7,0,0,0,0,0,0,1.526011542,1,2,7,6,7.5,14.5,14,13.5
241,35,1,0,1,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,1,8,10,9,14,16,17
242,42,0,0,1,3,NA,NA,NA,NA,NA,0,15,7,11,12,8,19,6,14,14,6,1,0,2,0,5,2,1.248554898,0,4,6,8.75,8,15,15.5,16
243,146,0,0,0,4,12,5,11,12,5,0,14,6,11,11,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.38728322,1,1,7.333333333,7.333333333,7,14.66666667,14.66666667,14.5
244,136,0,1,0,4,14,6,10,6,4,0,15,6,12,9,4,15,6,13,9,6,0,0,0,0,0,0,1.803468185,1,7,7.5,6,NA,15,12,NA
245,135,0,0,1,4,16,6,15,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.219653151,1,10,5,6.666666667,6.666666667,15,14,15.33333333
246,80,0,1,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.317919059,0,7,6.5,7,6,14,13.66666667,16.33333333
247,58,1,1,0,5,14,6,14,9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774566439,1,2,8.5,9.5,7,15.5,18,13
248,75,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.289017312,0,8,8.5,9,6,14,16.33333333,12
249,16,0,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.341040395,0,4,8,8.2,8.2,15.2,16.2,15.4
250,133,0,0,0,3,12,7,10,10,8,0,17,6,15,12,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.526011542,1,2,8,9,8,16,16,15
251,9,1,1,0,2,NA,NA,NA,NA,NA,0,18,10,12,13,9,16,8,15,12,8,0,0,0,1,0,2,1.803468185,0,3,NA,8,7,NA,14.66666667,14.66666667
252,102,0,0,1,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664739863,0,6,8.666666667,9.25,7.333333333,14.66666667,16.75,12.33333333
253,66,0,0,1,4,NA,NA,NA,NA,NA,0,14,7,12,7,8,16,6,12,11,8,0,0,0,0,0,0,1.664739863,0,8,7.5,8.75,10,13.5,16,18
254,63,0,0,0,2,14,7,14,11,8,0,13,8,12,11,8,18,9,16,14,10,0,0,0,0,0,0,1.248554898,1,7,8,8.333333333,8.666666667,17,15,15.33333333
255,63,0,0,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,4,8,8.25,9,15.5,14.5,16
256,88,1,0,1,4,NA,NA,NA,NA,NA,0,15,6,12,8,8,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,2.289017312,0,1,10,10,8.5,17,16.33333333,16.5
257,42,1,0,1,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8439306,0,6,6,9,6.666666667,15,15.8,17
258,55,1,0,0,5,NA,NA,NA,NA,NA,0,16,8,12,13,10,16,6,12,9,6,2,1,0,0,5,2,1.664739863,0,5,8.25,9,8,15.5,15.8,15.25
259,48,0,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734104024,0,3,8.333333333,9,8,15,16,16
260,113,0,0,0,3,16,7,14,9,8,0,16,8,14,10,8,16,6,13,12,8,0,0,0,1,0,0,2.289017312,1,8,5,6.666666667,6.666666667,11.5,14.33333333,14
261,46,0,0,0,3,18,6,16,13,9,1,15,6,14,11,9,15,6,14,10,6,1,3,0,1,5,0,2.774566439,1,1,6,10,6,8,13.5,12
262,5,1,0,0,4,NA,NA,NA,NA,NA,0,16,5,15,13,9,16,7,13,9,9,0,0,0,0,1,0,1.664739863,0,3,NA,9,7,NA,17.5,13
263,52,1,0,0,3,18,6,14,10,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,1,5,9,9,7.5,15,17,16.5
264,96,1,1,0,4,NA,NA,NA,NA,NA,0,12,5,11,12,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.317919059,0,4,7.5,8.75,6,15,15.25,12
265,51,0,0,0,3,NA,NA,NA,NA,NA,0,18,6,13,12,8,15,7,14,12,8,1,0,0,0,1,0,2.15028899,0,6,8.666666667,7.75,8,13.33333333,15.25,15
266,103,0,0,0,5,16,7,16,10,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.855491268,1,2,8.666666667,9,7.333333333,14.66666667,15.66666667,12.33333333
267,12,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.855491268,0,9,NA,9.666666667,NA,NA,15.66666667,NA
268,56,1,0,0,3,NA,NA,NA,NA,NA,0,16,5,14,12,9,NA,NA,NA,NA,NA,1,0,3,NA,NA,NA,1.38728322,0,3,8.333333333,9.5,8,15.66666667,17,16.5
269,118,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,3,7,8.6,8,14,15.6,17
270,119,1,0,1,4,17,6,18,13,8,0,17,6,16,15,10,19,8,12,12,9,0,0,0,0,0,0,2.011560668,1,3,7.4,9.166666667,6.833333333,14.6,16.33333333,16
271,129,1,0,0,4,16,8,13,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.080924829,1,5,7.333333333,5.25,6,14.33333333,12.75,14.66666667
272,72,0,0,1,4,NA,NA,NA,NA,NA,0,15,5,14,10,8,14,6,12,10,8,0,0,0,0,0,0,1.248554898,0,3,8.75,9.166666667,6.5,16,15.33333333,14.25
273,72,0,0,1,4,15,6,13,11,9,0,17,6,19,14,10,15,8,14,12,6,0,0,0,0,5,0,2.358381473,1,9,7.5,7.75,6.666666667,14.25,14.25,15.33333333
274,115,1,0,1,4,15,4,13,10,8,0,15,4,11,12,9,16,6,13,8,7,0,0,0,0,3,0,2.080924829,1,4,7.8,7.571428571,7,16,15.14285714,14.2
275,118,0,1,0,4,NA,NA,NA,NA,NA,0,14,6,14,11,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.595375702,0,4,8,9.75,8,13.5,17.5,16.75
276,126,0,0,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,3,8.5,8.666666667,5.666666667,17,16,14
277,73,0,0,0,4,NA,NA,NA,NA,NA,0,16,4,11,9,8,13,6,10,10,8,1,0,2,0,1,0,1.248554898,0,2,8.25,9.4,8,15.25,16.4,16
278,111,0,0,0,6,11,6,14,10,4,0,17,6,13,12,8,16,6,15,12,9,0,0,0,0,0,0,2.080924829,1,5,8,8.6,8.75,16.33333333,15.8,16.5
279,107,0,1,0,4,19,7,16,10,8,0,18,7,17,10,9,20,9,18,12,10,0,0,0,1,5,2,1.803468185,1,4,7.5,8,7.666666667,14.75,16,14.66666667
280,106,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,4,8,8.5,8,14.5,17,15
281,72,1,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.358381473,0,9,8.8,8.833333333,7.333333333,16.2,15.33333333,15
282,33,1,0,0,5,NA,NA,NA,NA,NA,0,16,8,16,13,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.664739863,0,8,7.666666667,8.5,6,16.66666667,15.25,16.5
283,62,1,0,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,2,9,9.333333333,6.333333333,15.5,16.33333333,13.33333333
284,64,0,0,1,4,13,5,9,10,4,0,15,6,16,14,10,12,6,12,9,6,0,0,0,0,0,0,1.38728322,1,3,8.5,9,6.5,14,15.75,12
285,45,0,0,1,2,NA,NA,NA,NA,NA,0,16,5,16,11,8,16,7,15,12,8,0,0,0,0,0,0,1.317919059,0,4,8,9.333333333,6,15,15,14
286,76,1,1,1,2,NA,NA,NA,NA,NA,0,16,8,16,8,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,3.676300532,0,2,NA,8.5,NA,NA,16.5,NA
287,24,1,1,1,6,14,8,15,12,9,0,NA,NA,NA,NA,NA,15,9,18,10,5,NA,NA,NA,2,0,3,2.011560668,1,4,8.666666667,7.571428571,7.5,17.33333333,15.57142857,15.83333333
